variavel,grupo,grupo_pt,n,accuracy_a,accuracy_b,delta_accuracy_b_menos_a,a_acerta_b_erra,b_acerta_a_erra,ganho_liquido_b,p_valor_mcnemar,metodo_mcnemar,p_valor_mcnemar_ajustado_bh
faixa_tamanho_texto,Textos mais longos,Textos Mais Longos,970,0.8329896907216495,0.8536082474226804,0.020618556701030855,121,141,20,0.2404655608221278,McNemar qui-quadrado com correção de continuidade,0.2404655608221278
faixa_tamanho_texto,Textos médio-longos,Textos Médio-Longos,1310,0.8465648854961833,0.8755725190839695,0.02900763358778624,136,174,38,0.03560071215888047,McNemar qui-quadrado com correção de continuidade,0.047467616211840626
faixa_tamanho_texto,Textos médio-curtos,Textos Médio-Curtos,1311,0.8443935926773455,0.8832951945080092,0.03890160183066371,128,179,51,0.0043220019752326245,McNemar qui-quadrado com correção de continuidade,0.008644003950465249
faixa_tamanho_texto,Textos mais curtos,Textos Mais Curtos,1409,0.596167494677076,0.8552164655784245,0.2590489709013485,132,497,365,9.932161472493585e-48,McNemar qui-quadrado com correção de continuidade,3.972864588997434e-47
