acerto_modelo_b,n,confianca_media,confianca_mediana,confianca_p10,confianca_p90,resultado
False,662,0.5529954682779457,0.5595000000000001,0.346,0.7526999999999999,Erros
True,4338,0.8462694790225911,0.866,0.7117,0.9543000000000001,Acertos
